,id,pid,ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,saleprice,log_saleprice,house_age,remod_age,cond_qual,kitchen,room_score,pool_score,fireplace,tot_garage,has_pool,log_lot_area,log_total_area,new_house,tot_bath_1,tot_bath_2,tot_bath_3,tot_bath_4,tot_bath_5,tot_bath_6,tot_bath_8,ms_zoning_A (agr),ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,land_contour_Bnk,land_contour_HLS,land_contour_Low,land_contour_Lvl,neighborhood_Blmngtn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,roof_style_Flat,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,exterior_2nd_AsbShng,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,foundation_BrkTil,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,paved_drive_N,paved_drive_P,paved_drive_Y,sale_type_COD,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD ,bathtime,fire,garage_garage,bad_house,log_area,more_qual,double_cond_qual,hot_cold,bsmt_double
0,109,533352170,60,0.0,13517,Pave,0,IR1,AllPub,CulDSac,Gtl,RRAe,Norm,1Fam,2Story,6,8,1976,2005,CompShg,HdBoard,BrkFace,289.0,4,3,3,3,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,1976.0,RFn,2.0,475.0,3,3,0,44,0,0,0,0,0,0,0,0,3,2010,130500,11.779128505744886,34,5,48,4,18,0,0,2850.0,0,9.511703431483827,8.332789468417959,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,8550.0,170,79.25902218058339,24,2304,5,284089.0
1,544,531379050,60,43.0,11492,Pave,0,IR1,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,7,5,1996,1997,CompShg,VinylSd,BrkFace,132.0,4,3,4,3,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1997.0,RFn,2.0,559.0,3,3,0,74,0,0,0,0,0,0,0,0,4,2009,220000,12.301382825334498,13,12,35,4,32,0,3,3354.0,0,9.34940642009918,8.651024539049757,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,3,10062.0,156,80.88194436582735,28,1225,5,405769.0
2,153,535304180,20,68.0,7922,Pave,0,Reg,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,2007,CompShg,VinylSd,None,0.0,3,4,3,3,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1.0,246.0,3,3,0,52,0,0,0,0,0,0,0,0,1,2010,109000,11.59910316121128,57,3,35,4,15,0,0,738.0,0,8.977398978181862,8.136518252115291,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0,2214.0,171,73.04477064249788,15,1225,3,534361.0
3,318,916386060,60,73.0,9802,Pave,0,Reg,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,2006,2007,CompShg,VinylSd,None,0.0,3,3,4,3,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,BuiltIn,2007.0,Fin,2.0,400.0,3,3,100,0,0,0,0,0,0,0,0,0,4,2010,174000,12.066810578196666,4,3,25,3,21,0,0,2400.0,0,9.190341725469493,8.20849175174038,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,7200.0,12,75.43884424919179,15,625,4,0.0
4,255,906425045,50,82.0,14235,Pave,0,IR1,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,CompShg,Wd Sdng,None,0.0,3,3,2,4,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,Detchd,1957.0,Unf,2.0,484.0,3,3,0,59,0,0,0,0,0,0,0,0,3,2010,138500,11.83862560460953,110,17,48,3,18,0,0,2904.0,0,9.563458999712138,8.306472160100585,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,8712.0,1870,79.43860593537225,18,2304,3,0.0
5,138,535126040,20,137.0,16492,Pave,0,IR1,AllPub,Corner,Gtl,PosA,Norm,1Fam,1Story,6,6,1966,2002,CompShg,BrkFace,None,0.0,4,3,3,3,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,Attchd,1966.0,Fin,2.0,578.0,3,3,0,0,0,0,0,0,0,0,0,0,6,2010,190000,12.154779351142624,44,8,36,4,12,0,4,3468.0,0,9.71063069382679,8.677780256064185,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,4,10404.0,352,84.26671930882098,24,1296,5,61009.0
6,2827,908186070,180,35.0,3675,Pave,0,Reg,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,CompShg,VinylSd,BrkFace,82.0,3,3,4,3,4,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,0,44,0,0,0,0,0,0,0,0,6,2006,140000,11.84939770159144,1,0,30,3,10,0,0,3150.0,0,8.209308411646937,8.075893630298857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0,0,9450.0,0,66.29750151077833,18,900,4,299209.0
7,145,535154050,20,0.0,12160,Pave,0,IR1,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,1959,CompShg,Plywood,BrkFace,180.0,3,3,3,3,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,2.0,531.0,3,3,0,0,0,0,0,0,0,MnPrv,0,0,5,2010,142000,11.863582336583399,51,51,25,3,18,0,0,3186.0,0,9.405907155520158,8.31752199628717,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,0,9558.0,2601,78.23383966107379,15,625,2,1000000.0
8,1942,535353130,20,0.0,15783,Pave,0,Reg,AllPub,Inside,Gtl,Artery,Norm,1Fam,1Story,5,5,1952,1952,CompShg,Wd Sdng,None,0.0,3,3,3,3,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,1952.0,Unf,1.0,420.0,3,3,0,324,0,0,0,0,0,MnPrv,Shed,400,6,2007,112500,11.630708500626612,55,55,25,3,12,0,0,1260.0,0,9.666688690398917,8.068402958569699,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,3780.0,3025,77.99473962918687,15,625,3,85264.0
9,1956,535426130,60,70.0,11606,Pave,0,IR1,AllPub,Inside,Sev,Norm,Norm,1Fam,2Story,5,5,1969,1969,CompShg,Plywood,BrkFace,192.0,3,3,4,3,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,Attchd,1969.0,Unf,2.0,504.0,3,3,335,0,0,0,0,0,0,0,0,0,9,2007,135000,11.813030057420567,38,38,25,2,45,0,6,3024.0,0,9.359277484750553,8.648922962094131,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,6,9072.0,1444,80.94766994646966,15,625,3,422500.0
